Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Draymond Green\greendr01,35:56,2,8,.250,0,4,.000,2,4,.500,1,6,7,7,0,1,2,4,6,-15
Harrison Barnes\barneha02,33:22,7,11,.636,2,5,.400,2,3,.667,1,7,8,3,0,0,1,2,18,-24
Stephen Curry\curryst01,30:59,6,13,.462,3,9,.333,4,4,1.000,1,0,1,3,2,0,6,4,19,-22
Klay Thompson\thompkl01,30:39,4,13,.308,1,7,.143,1,3,.333,1,1,2,1,1,0,2,1,10,-27
Andrew Bogut\bogutan01,12:01,2,6,.333,0,1,.000,0,0,,2,0,2,0,0,1,1,2,4,-21
Andre Iguodala\iguodan01,28:25,5,7,.714,1,2,.500,0,0,,0,2,2,0,0,0,1,0,11,-10
Shaun Livingston\livinsh01,19:46,2,3,.667,0,0,,1,2,.500,1,5,6,3,0,1,3,2,5,-3
Leandro Barbosa\barbole01,16:42,2,5,.400,0,1,.000,4,6,.667,0,0,0,2,2,1,0,3,8,-4
Anderson Varejao\varejan01,9:56,0,1,.000,0,0,,1,2,.500,1,1,2,2,0,0,1,3,1,-2
Marreese Speights\speigma01,7:55,1,4,.250,1,2,.500,2,2,1.000,0,1,1,0,0,0,0,1,5,-6
Brandon Rush\rushbr01,5:53,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-7
Ian Clark\clarkia01,5:39,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,1,1,3,-5
Festus Ezeli\ezelife01,2:48,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
Team Totals,240,32,76,.421,9,33,.273,17,26,.654,8,24,32,21,5,4,18,23,90,